Staff,Name,Role,First join,Last leave,Total time,Joins
emma,fc334a2dfd5140be060893a9c6afcfdf,Presenter,10/19/2020 13:00:12,10/19/2020 13:44:43,00:44:31,1
emma,76eeb062f173cf87f5f99df79ebdb759,Presenter,10/19/2020 13:06:27,10/19/2020 13:44:31,00:38:03,1
emma,EMMA BROSTROM,Moderator,10/19/2020 13:10:24,10/19/2020 13:48:50,00:35:24,3
emma,d06c625a7a83184e3fbfc9e0afa7c8d1,Presenter,10/19/2020 22:39:12,10/19/2020 22:39:14,00:00:02,1
emma,f95fccea0c77a645cecb14458a27f5e8,Presenter,10/20/2020 11:48:30,10/20/2020 14:54:07,01:50:36,3
emma,b8002578487e34863f5e5fca886466fc,Presenter,10/20/2020 12:17:12,10/20/2020 13:50:06,01:32:41,2
emma,2bb4a0264113326a5b9d0b0c1d602fda,Presenter,10/20/2020 12:25:19,10/20/2020 13:35:58,01:10:39,1
emma,3c79b10f2c86148b6f07ae1548d9a12d,Presenter,10/20/2020 12:51:14,10/20/2020 14:21:29,01:07:21,3
emma,92a5fc906c41843ca6f943949b6a14b5,Presenter,10/20/2020 12:59:11,10/20/2020 13:09:23,00:10:12,1
emma,EMMA BROSTROM,Moderator,10/20/2020 12:59:22,10/20/2020 14:58:03,01:58:40,1
emma,9c3e055bcf30ba55f529b5f2d85468d3,Presenter,10/20/2020 13:00:51,10/20/2020 13:46:37,00:45:45,1
emma,164d973c66bd9e7c37e85a3220d33cdd,Presenter,10/20/2020 13:01:11,10/20/2020 13:54:54,00:53:43,1
emma,1bf33bf00a9cac65cf0a0917bbdaaa01,Presenter,10/20/2020 13:08:03,10/20/2020 13:10:05,00:02:02,1
emma,fbdcaa668860339338de879c9fb03127,Presenter,10/20/2020 13:10:56,10/20/2020 13:10:59,00:00:02,1
emma,63cbc207c8b0c65345d990dca3ad6980,Presenter,10/20/2020 13:15:49,10/20/2020 13:19:27,00:03:38,1
emma,164d973c66bd9e7c37e85a3220d33cdd,Presenter,10/21/2020 12:01:57,10/21/2020 12:59:14,00:57:16,1
emma,255aeab935469aff64b39a8675fe6e4b,Presenter,10/21/2020 12:02:27,10/21/2020 12:58:25,00:55:58,1
emma,EMMA BROSTROM,Moderator,10/21/2020 12:09:54,10/21/2020 13:49:57,01:28:40,2
emma,b28d750da1cf3490bfff6b61798de4be,Presenter,10/21/2020 12:23:09,10/21/2020 12:52:59,00:29:50,1
emma,619d3c78dbdf2294092673fa59c04f89,Presenter,10/21/2020 13:00:15,10/21/2020 13:49:51,00:49:36,1
emma,9c3e055bcf30ba55f529b5f2d85468d3,Presenter,10/21/2020 13:00:56,10/21/2020 13:49:54,00:48:58,1
emma,691a224d4d404d7acc58b1afc2412cca,Presenter,10/21/2020 14:14:35,10/21/2020 14:14:47,00:00:11,1
emma,105456dda9bb7203ccd31b4ad204cc45,Presenter,10/26/2020 12:53:29,10/26/2020 14:01:49,01:08:19,1
emma,60766eb69bd63f59b909b043a08520e5,Presenter,10/26/2020 13:00:24,10/26/2020 13:59:30,00:59:05,1
emma,a837010ec752cdf650d641700901f64e,Presenter,10/26/2020 13:01:12,10/26/2020 13:59:39,00:58:26,1
emma,ce0843389ec1c430b99d738e541a844b,Presenter,10/26/2020 13:01:15,10/26/2020 13:59:42,00:58:27,1
emma,76eeb062f173cf87f5f99df79ebdb759,Presenter,10/26/2020 13:01:46,10/26/2020 13:59:36,00:57:50,1
emma,fc334a2dfd5140be060893a9c6afcfdf,Presenter,10/26/2020 13:02:28,10/26/2020 13:59:27,00:56:58,1
emma,EMMA BROSTROM,Moderator,10/26/2020 13:09:58,10/26/2020 13:59:56,00:49:57,1
emma,9314207a9cbe7578f1d663decd0734f4,Presenter,10/26/2020 15:00:19,10/26/2020 15:58:06,00:57:47,1
emma,0fdeea1df752b8fd62032225a359b3ea,Presenter,10/26/2020 15:00:25,10/26/2020 15:57:51,00:57:12,2
emma,f0ff401179a76973bd8f67bcfa102f86,Presenter,10/26/2020 15:01:39,10/26/2020 16:00:21,00:58:41,1
emma,3eea16480b4572d2331c890ac34593c6,Presenter,10/26/2020 15:02:06,10/26/2020 15:58:17,00:56:10,1
emma,f95fccea0c77a645cecb14458a27f5e8,Presenter,10/26/2020 15:05:19,10/26/2020 15:52:28,00:47:08,1
emma,EMMA BROSTROM,Moderator,10/26/2020 15:09:40,10/26/2020 16:30:35,01:07:09,2
emma,3db9a6429d1bd319781ec285a35c01b6,Presenter,10/26/2020 15:56:35,10/26/2020 16:30:11,00:33:36,1
emma,691a224d4d404d7acc58b1afc2412cca,Presenter,10/26/2020 15:58:39,10/26/2020 16:30:32,00:31:53,1
emma,b0c05e63529048b3ce9e7ba301a150d1,Presenter,10/26/2020 16:00:10,10/26/2020 16:30:15,00:30:05,1
emma,d06c625a7a83184e3fbfc9e0afa7c8d1,Presenter,10/26/2020 16:01:02,10/26/2020 16:30:09,00:29:07,1
emma,fbdcaa668860339338de879c9fb03127,Presenter,10/27/2020 12:26:52,10/27/2020 13:24:19,00:57:26,1
emma,fc89668809212ce6975e1523b85c6f30,Presenter,10/27/2020 12:38:36,10/27/2020 12:57:50,00:19:13,1
emma,d2e527fe597fdfdc1dbdb86b7f3ddc1e,Presenter,10/27/2020 12:54:37,10/27/2020 13:30:17,00:35:39,1
emma,EMMA BROSTROM,Moderator,10/27/2020 13:00:10,10/27/2020 15:00:13,01:59:38,2
emma,f667fc370ee3ef86bb1f1b0366b9c811,Presenter,10/27/2020 14:33:49,10/27/2020 15:00:13,00:26:24,1
emma,2aa72e555dafb0b0dfd24ecd10147de7,Presenter,10/27/2020 14:46:11,10/27/2020 14:46:20,00:00:09,1
emma,255aeab935469aff64b39a8675fe6e4b,Presenter,10/28/2020 12:01:06,10/28/2020 13:03:10,01:02:04,1
emma,d63e3392bdb4d42827bdd39258846281,Presenter,10/28/2020 12:02:37,10/28/2020 12:58:13,00:55:36,1
emma,4ba67e748af3cc22e0ebc1c522d3efe4,Presenter,10/28/2020 12:03:30,10/28/2020 13:01:38,00:44:06,7
emma,eec08980831230e7de76ffd55a41c3b8,Presenter,10/28/2020 12:04:32,10/28/2020 13:00:23,00:50:54,5
emma,EMMA BROSTROM,Moderator,10/28/2020 12:11:25,10/28/2020 13:03:09,00:51:44,1
emma,b28d750da1cf3490bfff6b61798de4be,Presenter,10/28/2020 12:32:43,10/28/2020 12:58:07,00:25:24,1
emma,1bf33bf00a9cac65cf0a0917bbdaaa01,Presenter,10/29/2020 14:56:46,10/29/2020 14:57:03,00:00:17,1
emma,3eea16480b4572d2331c890ac34593c6,Presenter,10/05/2020 14:55:52,10/05/2020 15:51:25,00:55:33,1
emma,9314207a9cbe7578f1d663decd0734f4,Presenter,10/05/2020 14:58:51,10/05/2020 15:50:41,00:51:49,1
emma,0fdeea1df752b8fd62032225a359b3ea,Presenter,10/05/2020 15:00:00,10/05/2020 15:50:44,00:43:42,6
emma,f0ff401179a76973bd8f67bcfa102f86,Presenter,10/05/2020 15:00:47,10/05/2020 15:50:36,00:49:48,1
emma,EMMA BROSTROM,Moderator,10/05/2020 15:11:32,10/05/2020 15:51:59,00:40:27,1
emma,df1f590c832ed558acb1b4d17dda4b5b,Presenter,10/05/2020 15:13:11,10/05/2020 15:33:27,00:20:15,1
emma,60766eb69bd63f59b909b043a08520e5,Presenter,10/05/2020 12:59:27,10/05/2020 14:02:41,01:03:13,1
emma,76eeb062f173cf87f5f99df79ebdb759,Presenter,10/05/2020 13:00:28,10/05/2020 14:02:48,01:02:03,2
emma,a837010ec752cdf650d641700901f64e,Presenter,10/05/2020 13:01:35,10/05/2020 14:00:18,00:58:43,1
emma,fc334a2dfd5140be060893a9c6afcfdf,Presenter,10/05/2020 13:03:09,10/05/2020 14:02:44,00:59:35,1
emma,EMMA BROSTROM,Moderator,10/05/2020 13:09:51,10/05/2020 14:05:41,00:55:19,3
emma,105456dda9bb7203ccd31b4ad204cc45,Presenter,10/05/2020 13:16:30,10/05/2020 14:02:39,00:45:43,2
emma,ce0843389ec1c430b99d738e541a844b,Presenter,10/05/2020 13:28:05,10/05/2020 14:02:58,00:34:05,5
emma,b0c05e63529048b3ce9e7ba301a150d1,Presenter,10/05/2020 15:57:36,10/05/2020 16:36:02,00:38:25,1
emma,0fdeea1df752b8fd62032225a359b3ea,Presenter,10/05/2020 16:00:15,10/05/2020 16:00:21,00:00:06,1
emma,d06c625a7a83184e3fbfc9e0afa7c8d1,Presenter,10/05/2020 16:00:31,10/05/2020 16:36:03,00:35:32,1
emma,EMMA BROSTROM,Moderator,10/05/2020 16:10:13,10/05/2020 16:38:35,00:28:15,2
emma,3db9a6429d1bd319781ec285a35c01b6,Presenter,10/05/2020 16:10:42,10/05/2020 16:36:06,00:25:23,1
emma,255aeab935469aff64b39a8675fe6e4b,Presenter,10/06/2020 16:02:31,10/06/2020 16:02:34,00:00:02,1
emma,5dfd348e5271db4d9e6ac8c540ad8689,Presenter,10/06/2020 12:36:32,10/06/2020 14:56:48,02:07:44,6
emma,b8002578487e34863f5e5fca886466fc,Presenter,10/06/2020 12:39:18,10/06/2020 14:57:31,02:17:49,3
emma,fc89668809212ce6975e1523b85c6f30,Presenter,10/06/2020 12:42:10,10/06/2020 13:36:41,00:54:31,1
emma,76eeb062f173cf87f5f99df79ebdb759,Presenter,10/06/2020 12:50:48,10/06/2020 14:09:35,01:18:47,1
emma,3eea16480b4572d2331c890ac34593c6,Presenter,10/06/2020 12:55:16,10/06/2020 14:22:42,01:27:26,1
emma,60766eb69bd63f59b909b043a08520e5,Presenter,10/06/2020 12:57:25,10/06/2020 14:31:00,01:32:54,2
emma,EMMA BROSTROM,Moderator,10/06/2020 13:00:41,10/06/2020 14:57:37,01:50:23,2
emma,8a83d562abc9e1dadbe887f58d6a54fc,Presenter,10/06/2020 13:05:19,10/06/2020 14:37:50,01:32:31,1
emma,4b9214cf667e833d8bdf6d61a719693a,Presenter,10/06/2020 13:09:27,10/06/2020 14:19:54,00:06:45,2
emma,afa4227ff16787b8779bea9e17fd8a39,Presenter,10/06/2020 13:21:06,10/06/2020 14:56:33,01:35:26,1
emma,2aa72e555dafb0b0dfd24ecd10147de7,Presenter,10/06/2020 13:42:54,10/06/2020 14:57:21,01:14:26,1
emma,62ed60d6000bf7fa150d3bd4eb572fc3,Presenter,10/06/2020 14:01:41,10/06/2020 14:01:54,00:00:12,1
emma,b0c05e63529048b3ce9e7ba301a150d1,Presenter,10/06/2020 14:11:50,10/06/2020 14:15:19,00:03:29,1
emma,ad32fc3bd1bab24c5449744ea431cb6f,Presenter,10/06/2020 14:28:48,10/06/2020 14:57:28,00:28:39,1
emma,3db9a6429d1bd319781ec285a35c01b6,Presenter,10/06/2020 20:39:31,10/07/2020 01:25:26,04:45:54,1
emma,b0c05e63529048b3ce9e7ba301a150d1,Presenter,10/06/2020 20:41:12,10/06/2020 20:57:00,00:15:47,1
emma,3c79b10f2c86148b6f07ae1548d9a12d,Presenter,10/06/2020 16:12:26,10/06/2020 16:12:37,00:00:10,1
emma,4ba67e748af3cc22e0ebc1c522d3efe4,Presenter,10/07/2020 11:57:56,10/07/2020 13:05:38,00:33:23,3
emma,eec08980831230e7de76ffd55a41c3b8,Presenter,10/07/2020 12:00:56,10/07/2020 12:46:45,00:45:36,3
emma,255aeab935469aff64b39a8675fe6e4b,Presenter,10/07/2020 12:02:19,10/07/2020 13:01:42,00:59:22,1
emma,164d973c66bd9e7c37e85a3220d33cdd,Presenter,10/07/2020 12:04:24,10/07/2020 12:59:13,00:54:49,1
emma,b28d750da1cf3490bfff6b61798de4be,Presenter,10/07/2020 12:06:00,10/07/2020 12:59:11,00:53:11,1
emma,EMMA BROSTROM,Moderator,10/07/2020 12:10:08,10/07/2020 13:52:28,01:35:07,2
emma,d63e3392bdb4d42827bdd39258846281,Presenter,10/07/2020 12:11:45,10/07/2020 12:59:19,00:47:34,1
emma,9c3e055bcf30ba55f529b5f2d85468d3,Presenter,10/07/2020 12:57:13,10/07/2020 13:52:26,00:55:13,1
emma,619d3c78dbdf2294092673fa59c04f89,Presenter,10/07/2020 13:04:22,10/07/2020 13:52:21,00:47:49,2
emma,EMMA BROSTROM,Moderator,10/07/2020 15:58:32,10/07/2020 16:42:43,00:44:10,1
emma,f95fccea0c77a645cecb14458a27f5e8,Presenter,10/07/2020 16:01:33,10/07/2020 16:42:59,00:41:25,1
emma,1a7acb7c631eb9903e89011c938bdb39,Presenter,10/09/2020 15:02:27,10/09/2020 15:02:29,00:00:01,1
emma,0fdeea1df752b8fd62032225a359b3ea,Presenter,10/09/2020 15:05:36,10/09/2020 15:05:38,00:00:01,1
emma,5dfd348e5271db4d9e6ac8c540ad8689,Presenter,11/10/2020 11:55:00,11/10/2020 14:50:59,02:55:58,1
emma,fc89668809212ce6975e1523b85c6f30,Presenter,11/10/2020 11:56:32,11/10/2020 13:28:49,01:31:39,2
emma,3eea16480b4572d2331c890ac34593c6,Presenter,11/10/2020 12:06:16,11/10/2020 13:53:12,01:46:55,1
emma,8a83d562abc9e1dadbe887f58d6a54fc,Presenter,11/10/2020 12:31:52,11/10/2020 15:36:29,02:57:37,7
emma,656b978c314f00b8d89e885a1e4451d2,Presenter,11/10/2020 12:42:13,11/10/2020 14:50:47,02:08:33,1
emma,df7ef6fa50865a68c005fe441943059b,Presenter,11/10/2020 12:45:32,11/10/2020 14:25:03,01:39:31,1
emma,2aa72e555dafb0b0dfd24ecd10147de7,Presenter,11/10/2020 12:47:53,11/10/2020 15:06:12,02:18:10,2
emma,76eeb062f173cf87f5f99df79ebdb759,Presenter,11/10/2020 12:48:29,11/10/2020 14:41:50,01:53:21,1
emma,EMMA BROSTROM,Moderator,11/10/2020 13:00:12,11/10/2020 15:00:07,01:59:55,1
emma,fbdcaa668860339338de879c9fb03127,Presenter,11/10/2020 13:43:38,11/10/2020 14:15:21,00:31:43,1
emma,164d973c66bd9e7c37e85a3220d33cdd,Presenter,11/10/2020 14:06:25,11/10/2020 14:37:01,00:30:36,1
emma,62ed60d6000bf7fa150d3bd4eb572fc3,Presenter,11/10/2020 14:12:01,11/10/2020 14:12:18,00:00:17,1
emma,f667fc370ee3ef86bb1f1b0366b9c811,Presenter,11/10/2020 14:26:42,11/10/2020 14:54:38,00:27:56,1
emma,4b9214cf667e833d8bdf6d61a719693a,Presenter,11/10/2020 14:29:39,11/10/2020 15:00:19,00:30:40,1
emma,1051a373fca894a56ac1ad7f6fcca8e1,Presenter,11/10/2020 14:36:33,11/10/2020 15:00:46,00:24:13,1
emma,afa4227ff16787b8779bea9e17fd8a39,Presenter,11/10/2020 14:50:38,11/10/2020 14:50:50,00:00:11,1
emma,4ba67e748af3cc22e0ebc1c522d3efe4,Presenter,11/11/2020 11:59:39,11/11/2020 12:58:32,00:58:32,2
emma,255aeab935469aff64b39a8675fe6e4b,Presenter,11/11/2020 12:01:36,11/11/2020 12:58:38,00:57:01,1
emma,EMMA BROSTROM,Moderator,11/11/2020 12:10:26,11/11/2020 12:58:39,00:48:13,1
emma,b28d750da1cf3490bfff6b61798de4be,Presenter,11/11/2020 12:10:33,11/11/2020 12:58:34,00:48:00,1
emma,164d973c66bd9e7c37e85a3220d33cdd,Presenter,11/11/2020 12:12:21,11/11/2020 12:58:37,00:46:15,1
emma,a837010ec752cdf650d641700901f64e,Presenter,11/16/2020 13:00:35,11/16/2020 14:42:36,01:42:01,1
emma,fc334a2dfd5140be060893a9c6afcfdf,Presenter,11/16/2020 13:01:03,11/16/2020 14:01:13,01:00:09,1
emma,60766eb69bd63f59b909b043a08520e5,Presenter,11/16/2020 13:01:25,11/16/2020 14:42:49,01:41:23,1
emma,105456dda9bb7203ccd31b4ad204cc45,Presenter,11/16/2020 13:01:26,11/16/2020 13:56:08,00:54:41,1
emma,76eeb062f173cf87f5f99df79ebdb759,Presenter,11/16/2020 13:03:29,11/16/2020 14:42:46,01:39:17,1
emma,ce0843389ec1c430b99d738e541a844b,Presenter,11/16/2020 13:08:04,11/16/2020 14:42:47,01:34:42,1
emma,EMMA BROSTROM,Moderator,11/16/2020 13:10:28,11/16/2020 14:02:08,00:51:22,1
emma,9314207a9cbe7578f1d663decd0734f4,Presenter,11/16/2020 15:05:00,11/16/2020 15:53:45,00:48:44,1
emma,f0ff401179a76973bd8f67bcfa102f86,Presenter,11/16/2020 15:05:10,11/16/2020 15:53:58,00:48:48,1
emma,3eea16480b4572d2331c890ac34593c6,Presenter,11/16/2020 15:06:29,11/16/2020 16:01:40,00:55:11,1
emma,EMMA BROSTROM,Moderator,11/16/2020 15:09:29,11/16/2020 16:54:02,01:34:13,2
emma,0fdeea1df752b8fd62032225a359b3ea,Presenter,11/16/2020 15:16:11,11/16/2020 15:56:11,00:39:46,2
emma,3db9a6429d1bd319781ec285a35c01b6,Presenter,11/16/2020 15:58:25,11/16/2020 16:53:58,00:55:33,1
emma,d06c625a7a83184e3fbfc9e0afa7c8d1,Presenter,11/16/2020 15:59:26,11/16/2020 16:53:58,00:54:32,1
emma,b0c05e63529048b3ce9e7ba301a150d1,Presenter,11/16/2020 15:59:49,11/16/2020 16:53:58,00:54:09,1
emma,691a224d4d404d7acc58b1afc2412cca,Presenter,11/16/2020 16:00:59,11/16/2020 16:54:04,00:52:59,2
emma,EMMA BROSTROM,Moderator,11/17/2020 13:00:33,11/17/2020 14:57:58,01:57:24,1
emma,4b9214cf667e833d8bdf6d61a719693a,Presenter,11/17/2020 14:20:53,11/17/2020 14:24:12,00:03:19,1
emma,0fdeea1df752b8fd62032225a359b3ea,Presenter,11/17/2020 14:30:22,11/17/2020 14:56:49,00:22:00,2
emma,4ba67e748af3cc22e0ebc1c522d3efe4,Presenter,11/18/2020 12:02:25,11/18/2020 12:54:10,00:51:44,1
emma,b28d750da1cf3490bfff6b61798de4be,Presenter,11/18/2020 12:02:51,11/18/2020 12:54:23,00:51:31,1
emma,eec08980831230e7de76ffd55a41c3b8,Presenter,11/18/2020 12:03:17,11/18/2020 12:40:35,00:37:17,1
emma,255aeab935469aff64b39a8675fe6e4b,Presenter,11/18/2020 12:09:40,11/18/2020 12:54:20,00:44:39,1
emma,EMMA BROSTROM,Moderator,11/18/2020 12:10:34,11/18/2020 12:54:25,00:43:50,1
emma,164d973c66bd9e7c37e85a3220d33cdd,Presenter,11/18/2020 12:24:27,11/18/2020 12:54:15,00:29:48,1
emma,60766eb69bd63f59b909b043a08520e5,Presenter,11/02/2020 12:57:49,11/02/2020 14:01:44,01:03:54,1
emma,fc334a2dfd5140be060893a9c6afcfdf,Presenter,11/02/2020 12:58:28,11/02/2020 13:57:59,00:59:30,1
emma,76eeb062f173cf87f5f99df79ebdb759,Presenter,11/02/2020 13:00:29,11/02/2020 14:01:53,01:01:23,1
emma,a837010ec752cdf650d641700901f64e,Presenter,11/02/2020 13:01:11,11/02/2020 14:01:56,01:00:45,1
emma,ce0843389ec1c430b99d738e541a844b,Presenter,11/02/2020 13:06:33,11/02/2020 14:02:07,00:55:33,1
emma,EMMA BROSTROM,Moderator,11/02/2020 13:09:50,11/02/2020 14:01:54,00:52:04,1
emma,105456dda9bb7203ccd31b4ad204cc45,Presenter,11/02/2020 13:33:50,11/02/2020 14:03:55,00:27:28,4
emma,3eea16480b4572d2331c890ac34593c6,Presenter,11/02/2020 14:54:42,11/02/2020 15:53:43,00:59:01,1
emma,9314207a9cbe7578f1d663decd0734f4,Presenter,11/02/2020 15:00:19,11/02/2020 15:53:44,00:53:25,1
emma,0fdeea1df752b8fd62032225a359b3ea,Presenter,11/02/2020 15:01:34,11/02/2020 15:53:48,00:51:57,3
emma,f0ff401179a76973bd8f67bcfa102f86,Presenter,11/02/2020 15:02:10,11/02/2020 15:53:41,00:51:30,1
emma,EMMA BROSTROM,Moderator,11/02/2020 15:09:33,11/02/2020 16:54:00,01:28:37,3
emma,3db9a6429d1bd319781ec285a35c01b6,Presenter,11/02/2020 15:52:14,11/02/2020 16:53:30,01:01:16,1
emma,b0c05e63529048b3ce9e7ba301a150d1,Presenter,11/02/2020 15:59:55,11/02/2020 16:54:00,00:54:05,1
emma,691a224d4d404d7acc58b1afc2412cca,Presenter,11/02/2020 16:00:05,11/02/2020 16:53:57,00:53:51,1
emma,d06c625a7a83184e3fbfc9e0afa7c8d1,Presenter,11/02/2020 16:00:57,11/02/2020 16:53:56,00:52:58,1
emma,fc334a2dfd5140be060893a9c6afcfdf,Presenter,11/23/2020 13:02:54,11/23/2020 13:10:48,00:07:13,3
emma,3eea16480b4572d2331c890ac34593c6,Presenter,11/23/2020 14:53:44,11/23/2020 15:30:02,00:36:18,1
emma,f0ff401179a76973bd8f67bcfa102f86,Presenter,11/23/2020 15:01:00,11/23/2020 15:29:58,00:28:57,1
emma,9314207a9cbe7578f1d663decd0734f4,Presenter,11/23/2020 15:01:59,11/23/2020 15:29:58,00:27:59,1
emma,4815c89ce8c00066bf21e6fa3890a92e,Presenter,11/24/2020 12:17:58,11/24/2020 12:18:00,00:00:02,1
emma,4815c89ce8c00066bf21e6fa3890a92e,Presenter,11/24/2020 12:41:03,11/24/2020 13:42:46,00:46:31,2
emma,877fe38f13b6c38ea9a2c192648e2862,Presenter,11/24/2020 12:44:04,11/24/2020 14:31:12,01:47:07,1
emma,EMMA BROSTROM,Moderator,11/24/2020 12:58:08,11/24/2020 14:58:45,02:00:37,1
emma,105456dda9bb7203ccd31b4ad204cc45,Presenter,11/24/2020 13:05:41,11/24/2020 14:59:00,01:53:19,1
emma,3c79b10f2c86148b6f07ae1548d9a12d,Presenter,11/24/2020 13:08:52,11/24/2020 13:58:18,00:49:26,1
emma,4ba67e748af3cc22e0ebc1c522d3efe4,Presenter,11/24/2020 13:23:23,11/24/2020 14:20:17,00:56:53,1
emma,2bb4a0264113326a5b9d0b0c1d602fda,Presenter,11/24/2020 13:30:04,11/24/2020 14:42:10,01:12:05,1
emma,fc89668809212ce6975e1523b85c6f30,Presenter,11/24/2020 13:39:48,11/24/2020 14:55:15,01:15:26,1
emma,3db9a6429d1bd319781ec285a35c01b6,Presenter,11/24/2020 13:41:11,11/24/2020 14:58:25,01:17:14,1
emma,1051a373fca894a56ac1ad7f6fcca8e1,Presenter,11/24/2020 13:41:22,11/24/2020 14:32:25,00:51:03,1
emma,63cbc207c8b0c65345d990dca3ad6980,Presenter,11/24/2020 13:43:41,11/24/2020 14:48:38,01:04:57,1
emma,c931373a00a753e8c20508a12a911bf7,Presenter,11/24/2020 14:07:37,11/24/2020 14:45:56,00:38:19,1
emma,9c3e055bcf30ba55f529b5f2d85468d3,Presenter,11/24/2020 14:27:17,11/24/2020 14:57:56,00:30:39,1
emma,164d973c66bd9e7c37e85a3220d33cdd,Presenter,11/25/2020 12:12:26,11/25/2020 12:12:34,00:00:08,1
emma,255aeab935469aff64b39a8675fe6e4b,Presenter,11/25/2020 12:05:26,11/25/2020 12:05:38,00:00:12,1
